,Unnamed: 0,Internet usage_no time at all,Rock,Cars,Reliability,Decision making,Movies,Elections,Celebrities,Self-criticism,Judgment calls,Hypochondria,Empathy,Art exhibitions,Theatre,Eating to survive,Giving,Storm,Classical music,Rats,Flying,Compassion to animals,Borrowed stuff,Loneliness,Musical instruments,Cheating in school,Health,Law,Dance,Changing the past,Appearence and gestures,Romantic,God,Science and technology,Physics,Dreams,Charity,Foreign languages,Number of friends,Darkness,Prioritising workload,Passwords,Emails
0,0,0,5.0,1.0,4.0,3.0,5.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1,4.0,1.0,2.0,3.0,1.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,4.0,3.0,4,2.0,5.0,3,1.0,2.0,Default,1@survey.com
1,1,0,5.0,2.0,4.0,2.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,1,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,3,1.0,5.0,3,1.0,2.0,Default,2@survey.com
2,2,0,5.0,1.0,4.0,3.0,5.0,5.0,1.0,4.0,4.0,1.0,5.0,5.0,5.0,5,5.0,1.0,4.0,1.0,1.0,4.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,2.0,1,3.0,5.0,3,1.0,2.0,Default,3@survey.com
3,3,0,2.0,1.0,3.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,3.0,5.0,1.0,1,1.0,1.0,1.0,5.0,2.0,2.0,5.0,5.0,1.0,5.0,1.0,5.0,2.0,5.0,3.0,3.0,4.0,3.0,1.0,3,3.0,4.0,1,1.0,4.0,Default,4@survey.com
4,4,0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,3.0,1.0,2.0,1,3.0,2.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,3,3.0,3.0,3,1.0,1.0,Default,5@survey.com
5,5,0,5.0,5.0,3.0,2.0,5.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,2,3.0,2.0,3.0,2.0,3.0,5.0,5.0,2.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3,2.0,4.0,3,2.0,2.0,Default,6@survey.com
6,6,0,3.0,4.0,4.0,2.0,4.0,5.0,1.0,3.0,5.0,1.0,4.0,1.0,3.0,1,5.0,3.0,2.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,5.0,1.0,4.0,3.0,5.0,4.0,1.0,3,3.0,4.0,3,2.0,5.0,Default,7@survey.com
7,7,0,5.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,2.0,1.0,1.0,2.0,2,3.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,1.0,4,1.0,4.0,4,4.0,1.0,Default,8@survey.com
8,8,0,5.0,1.0,5.0,4.0,5.0,1.0,5.0,3.0,2.0,2.0,5.0,1.0,5.0,1,1.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,5.0,4.0,1.0,3.0,5.0,4.0,4.0,5.0,1.0,1.0,4,1.0,1.0,2,1.0,2.0,Default,9@survey.com
9,9,0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,4.0,4.0,5.0,1,4.0,5.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,5.0,5.0,3.0,1.0,3,2.0,5.0,3,4.0,2.0,Default,10@survey.com
