,Emails,Type
0,1@survey.com,3.0
1,2@survey.com,3.0
2,3@survey.com,2.0
3,4@survey.com,1.0
4,5@survey.com,3.0
5,6@survey.com,3.0
6,7@survey.com,3.0
7,8@survey.com,1.0
8,9@survey.com,1.0
9,10@survey.com,1.0
10,11@survey.com,3.0
11,12@survey.com,3.0
12,13@survey.com,2.0
13,14@survey.com,1.0
14,15@survey.com,1.0
15,16@survey.com,2.0
16,17@survey.com,1.0
17,18@survey.com,1.0
18,19@survey.com,3.0
19,20@survey.com,3.0
20,21@survey.com,2.0
21,22@survey.com,3.0
22,23@survey.com,3.0
23,24@survey.com,2.0
24,25@survey.com,2.0
25,26@survey.com,1.0
26,27@survey.com,3.0
27,28@survey.com,1.0
28,29@survey.com,3.0
29,30@survey.com,1.0
30,31@survey.com,3.0
31,32@survey.com,1.0
32,33@survey.com,1.0
33,34@survey.com,2.0
34,35@survey.com,2.0
35,36@survey.com,1.0
36,37@survey.com,2.0
37,38@survey.com,2.0
38,39@survey.com,2.0
39,40@survey.com,1.0
40,41@survey.com,1.0
41,42@survey.com,3.0
42,43@survey.com,3.0
43,44@survey.com,1.0
44,45@survey.com,1.0
45,46@survey.com,3.0
46,47@survey.com,3.0
47,48@survey.com,1.0
48,49@survey.com,1.0
49,50@survey.com,3.0
50,51@survey.com,1.0
51,52@survey.com,2.0
52,53@survey.com,2.0
53,54@survey.com,2.0
54,55@survey.com,2.0
55,56@survey.com,1.0
56,57@survey.com,2.0
57,58@survey.com,1.0
58,59@survey.com,3.0
59,60@survey.com,3.0
60,61@survey.com,2.0
61,62@survey.com,2.0
62,63@survey.com,1.0
63,64@survey.com,3.0
64,65@survey.com,1.0
65,66@survey.com,3.0
66,67@survey.com,3.0
67,68@survey.com,1.0
68,69@survey.com,1.0
69,70@survey.com,1.0
70,71@survey.com,3.0
71,72@survey.com,3.0
72,73@survey.com,1.0
73,74@survey.com,1.0
74,75@survey.com,2.0
75,76@survey.com,2.0
76,77@survey.com,3.0
77,78@survey.com,2.0
78,79@survey.com,2.0
79,80@survey.com,3.0
80,81@survey.com,1.0
81,82@survey.com,3.0
82,83@survey.com,2.0
83,84@survey.com,1.0
84,85@survey.com,2.0
85,86@survey.com,2.0
86,87@survey.com,2.0
87,88@survey.com,1.0
88,89@survey.com,1.0
89,90@survey.com,1.0
90,91@survey.com,3.0
91,92@survey.com,1.0
92,93@survey.com,2.0
93,94@survey.com,3.0
94,95@survey.com,3.0
95,96@survey.com,3.0
96,97@survey.com,3.0
97,98@survey.com,3.0
98,99@survey.com,3.0
99,100@survey.com,3.0
100,101@survey.com,2.0
101,102@survey.com,3.0
102,103@survey.com,2.0
103,104@survey.com,3.0
104,105@survey.com,3.0
105,106@survey.com,3.0
106,107@survey.com,2.0
107,108@survey.com,1.0
108,109@survey.com,2.0
109,110@survey.com,3.0
110,111@survey.com,3.0
111,112@survey.com,1.0
112,113@survey.com,2.0
113,114@survey.com,3.0
114,115@survey.com,2.0
115,116@survey.com,2.0
116,117@survey.com,2.0
117,118@survey.com,1.0
118,119@survey.com,3.0
119,120@survey.com,3.0
120,121@survey.com,2.0
121,122@survey.com,3.0
122,123@survey.com,2.0
123,124@survey.com,2.0
124,125@survey.com,2.0
125,126@survey.com,2.0
126,127@survey.com,1.0
127,128@survey.com,3.0
128,129@survey.com,2.0
129,130@survey.com,1.0
130,131@survey.com,2.0
131,132@survey.com,3.0
132,133@survey.com,1.0
133,134@survey.com,2.0
134,135@survey.com,1.0
135,136@survey.com,2.0
136,137@survey.com,3.0
137,138@survey.com,3.0
138,139@survey.com,2.0
139,140@survey.com,1.0
140,141@survey.com,2.0
141,142@survey.com,3.0
142,143@survey.com,1.0
143,144@survey.com,1.0
144,145@survey.com,2.0
145,146@survey.com,1.0
146,147@survey.com,3.0
147,148@survey.com,3.0
148,149@survey.com,2.0
149,150@survey.com,3.0
150,151@survey.com,2.0
151,152@survey.com,1.0
152,153@survey.com,1.0
153,154@survey.com,1.0
154,155@survey.com,3.0
155,156@survey.com,2.0
156,157@survey.com,3.0
157,158@survey.com,3.0
158,159@survey.com,2.0
159,160@survey.com,2.0
160,161@survey.com,3.0
161,162@survey.com,1.0
162,163@survey.com,3.0
163,164@survey.com,1.0
164,165@survey.com,1.0
165,166@survey.com,2.0
166,167@survey.com,2.0
167,168@survey.com,3.0
168,169@survey.com,3.0
169,170@survey.com,2.0
170,171@survey.com,2.0
171,172@survey.com,3.0
172,173@survey.com,3.0
173,174@survey.com,3.0
174,175@survey.com,1.0
175,176@survey.com,3.0
176,177@survey.com,3.0
177,178@survey.com,2.0
178,179@survey.com,3.0
179,180@survey.com,2.0
180,181@survey.com,3.0
181,182@survey.com,3.0
182,183@survey.com,2.0
183,184@survey.com,3.0
184,185@survey.com,1.0
185,186@survey.com,1.0
186,187@survey.com,1.0
187,188@survey.com,3.0
188,189@survey.com,1.0
189,190@survey.com,3.0
190,191@survey.com,3.0
191,192@survey.com,2.0
192,193@survey.com,1.0
193,194@survey.com,2.0
194,195@survey.com,2.0
195,196@survey.com,3.0
196,197@survey.com,1.0
197,198@survey.com,1.0
198,199@survey.com,3.0
199,200@survey.com,3.0
200,201@survey.com,3.0
201,202@survey.com,1.0
202,203@survey.com,3.0
203,204@survey.com,3.0
204,205@survey.com,3.0
205,206@survey.com,2.0
206,207@survey.com,2.0
207,208@survey.com,1.0
208,209@survey.com,1.0
209,210@survey.com,2.0
210,211@survey.com,1.0
211,212@survey.com,1.0
212,213@survey.com,2.0
213,214@survey.com,2.0
214,215@survey.com,2.0
215,216@survey.com,3.0
216,217@survey.com,3.0
217,218@survey.com,1.0
218,219@survey.com,3.0
219,220@survey.com,3.0
220,221@survey.com,2.0
221,222@survey.com,2.0
222,223@survey.com,3.0
223,224@survey.com,2.0
224,225@survey.com,3.0
225,226@survey.com,2.0
226,227@survey.com,1.0
227,228@survey.com,2.0
228,229@survey.com,2.0
229,230@survey.com,3.0
230,231@survey.com,1.0
231,232@survey.com,1.0
232,233@survey.com,2.0
233,234@survey.com,1.0
234,235@survey.com,3.0
235,236@survey.com,3.0
236,237@survey.com,2.0
237,238@survey.com,1.0
238,239@survey.com,1.0
239,240@survey.com,2.0
240,241@survey.com,3.0
241,242@survey.com,1.0
242,243@survey.com,2.0
243,244@survey.com,1.0
244,245@survey.com,1.0
245,246@survey.com,1.0
246,247@survey.com,3.0
247,248@survey.com,2.0
248,249@survey.com,2.0
249,250@survey.com,2.0
250,251@survey.com,1.0
251,252@survey.com,2.0
252,253@survey.com,1.0
253,254@survey.com,3.0
254,255@survey.com,1.0
255,256@survey.com,2.0
256,257@survey.com,1.0
257,258@survey.com,3.0
258,259@survey.com,3.0
259,260@survey.com,2.0
260,261@survey.com,1.0
261,262@survey.com,1.0
262,263@survey.com,2.0
263,264@survey.com,3.0
264,265@survey.com,2.0
265,266@survey.com,1.0
266,267@survey.com,1.0
267,268@survey.com,2.0
268,269@survey.com,1.0
269,270@survey.com,3.0
270,271@survey.com,1.0
271,272@survey.com,1.0
272,273@survey.com,2.0
273,274@survey.com,2.0
274,275@survey.com,1.0
275,276@survey.com,2.0
276,277@survey.com,1.0
277,278@survey.com,3.0
278,279@survey.com,3.0
279,280@survey.com,1.0
280,281@survey.com,2.0
281,282@survey.com,2.0
282,283@survey.com,1.0
283,284@survey.com,3.0
284,285@survey.com,3.0
285,286@survey.com,1.0
286,287@survey.com,1.0
287,288@survey.com,1.0
288,289@survey.com,3.0
289,290@survey.com,3.0
290,291@survey.com,1.0
291,292@survey.com,3.0
292,293@survey.com,1.0
293,294@survey.com,2.0
294,295@survey.com,3.0
295,296@survey.com,1.0
296,297@survey.com,3.0
297,298@survey.com,3.0
298,299@survey.com,1.0
299,300@survey.com,1.0
300,301@survey.com,2.0
301,302@survey.com,3.0
302,303@survey.com,1.0
303,304@survey.com,3.0
304,305@survey.com,3.0
305,306@survey.com,1.0
306,307@survey.com,1.0
307,308@survey.com,2.0
308,309@survey.com,1.0
309,310@survey.com,3.0
310,311@survey.com,3.0
311,312@survey.com,2.0
312,313@survey.com,3.0
313,314@survey.com,1.0
314,315@survey.com,2.0
315,316@survey.com,1.0
316,317@survey.com,1.0
317,318@survey.com,3.0
318,319@survey.com,1.0
319,320@survey.com,1.0
320,321@survey.com,2.0
321,322@survey.com,1.0
322,323@survey.com,2.0
323,324@survey.com,2.0
324,325@survey.com,1.0
325,326@survey.com,3.0
326,327@survey.com,1.0
327,328@survey.com,1.0
328,329@survey.com,3.0
329,330@survey.com,1.0
330,331@survey.com,1.0
331,332@survey.com,3.0
332,333@survey.com,1.0
333,334@survey.com,2.0
334,335@survey.com,3.0
335,336@survey.com,2.0
336,337@survey.com,3.0
337,338@survey.com,3.0
338,339@survey.com,1.0
339,340@survey.com,2.0
340,341@survey.com,1.0
341,342@survey.com,1.0
342,343@survey.com,1.0
343,344@survey.com,1.0
344,345@survey.com,1.0
345,346@survey.com,1.0
346,347@survey.com,3.0
347,348@survey.com,3.0
348,349@survey.com,2.0
349,350@survey.com,1.0
350,351@survey.com,3.0
351,352@survey.com,2.0
352,353@survey.com,3.0
353,354@survey.com,2.0
354,355@survey.com,2.0
355,356@survey.com,3.0
356,357@survey.com,3.0
357,358@survey.com,3.0
358,359@survey.com,3.0
359,360@survey.com,1.0
360,361@survey.com,3.0
361,362@survey.com,2.0
362,363@survey.com,2.0
363,364@survey.com,2.0
364,365@survey.com,3.0
365,366@survey.com,3.0
366,367@survey.com,3.0
367,368@survey.com,3.0
368,369@survey.com,1.0
369,370@survey.com,3.0
370,371@survey.com,1.0
371,372@survey.com,2.0
372,373@survey.com,3.0
373,374@survey.com,3.0
374,375@survey.com,1.0
375,376@survey.com,3.0
376,377@survey.com,1.0
377,378@survey.com,2.0
378,379@survey.com,1.0
379,380@survey.com,2.0
380,381@survey.com,1.0
381,382@survey.com,2.0
382,383@survey.com,1.0
383,384@survey.com,3.0
384,385@survey.com,1.0
385,386@survey.com,2.0
386,387@survey.com,3.0
387,388@survey.com,1.0
388,389@survey.com,2.0
389,390@survey.com,1.0
390,391@survey.com,3.0
391,392@survey.com,1.0
392,393@survey.com,1.0
393,394@survey.com,3.0
394,395@survey.com,1.0
395,396@survey.com,3.0
396,397@survey.com,2.0
397,398@survey.com,1.0
398,399@survey.com,1.0
399,400@survey.com,2.0
400,401@survey.com,3.0
401,402@survey.com,3.0
402,403@survey.com,3.0
403,404@survey.com,3.0
404,405@survey.com,2.0
405,406@survey.com,1.0
406,407@survey.com,1.0
407,408@survey.com,2.0
408,409@survey.com,1.0
409,410@survey.com,1.0
410,411@survey.com,3.0
411,412@survey.com,1.0
412,413@survey.com,1.0
413,414@survey.com,3.0
414,415@survey.com,2.0
415,416@survey.com,1.0
416,417@survey.com,2.0
417,418@survey.com,3.0
418,419@survey.com,1.0
419,420@survey.com,2.0
420,421@survey.com,1.0
421,422@survey.com,2.0
422,423@survey.com,1.0
423,424@survey.com,1.0
424,425@survey.com,3.0
425,426@survey.com,1.0
426,427@survey.com,1.0
427,428@survey.com,2.0
428,429@survey.com,1.0
429,430@survey.com,1.0
430,431@survey.com,3.0
431,432@survey.com,3.0
432,433@survey.com,2.0
433,434@survey.com,1.0
434,435@survey.com,3.0
435,436@survey.com,1.0
436,437@survey.com,3.0
437,438@survey.com,1.0
438,439@survey.com,1.0
439,440@survey.com,3.0
440,441@survey.com,1.0
441,442@survey.com,3.0
442,443@survey.com,2.0
443,444@survey.com,1.0
444,445@survey.com,3.0
445,446@survey.com,1.0
446,447@survey.com,3.0
447,448@survey.com,2.0
448,449@survey.com,1.0
449,450@survey.com,1.0
450,451@survey.com,3.0
451,452@survey.com,3.0
452,453@survey.com,1.0
453,454@survey.com,1.0
454,455@survey.com,1.0
455,456@survey.com,1.0
456,457@survey.com,3.0
457,458@survey.com,3.0
458,459@survey.com,2.0
459,460@survey.com,2.0
460,461@survey.com,3.0
461,462@survey.com,3.0
462,463@survey.com,2.0
463,464@survey.com,1.0
464,465@survey.com,1.0
465,466@survey.com,3.0
466,467@survey.com,3.0
467,468@survey.com,1.0
468,469@survey.com,3.0
469,470@survey.com,1.0
470,471@survey.com,1.0
471,472@survey.com,3.0
472,473@survey.com,3.0
473,474@survey.com,3.0
474,475@survey.com,2.0
475,476@survey.com,1.0
476,477@survey.com,1.0
